,Stress
844,8.0
758,10.0
913,8.0
219,6.0
641,6.0
899,7.0
740,9.0
792,10.0
903,11.0
624,6.0
824,8.0
799,10.0
386,8.0
955,8.0
509,7.0
267,6.0
956,11.0
441,7.0
496,8.0
112,6.0
691,7.0
232,6.0
854,11.0
607,6.0
671,6.0
373,7.0
964,10.0
828,8.0
233,6.0
773,8.0
676,6.0
317,7.0
648,6.0
410,7.0
882,8.0
709,6.0
358,9.0
258,6.0
744,9.0
627,6.0
632,7.0
282,9.0
376,9.0
384,8.0
224,6.0
937,10.0
800,10.0
472,7.0
347,8.0
505,8.0
639,6.0
970,8.0
912,12.0
889,9.0
619,7.0
924,6.0
645,6.0
832,10.0
556,7.0
941,9.0
577,8.0
85,19.0
242,6.0
698,7.0
159,6.0
524,10.0
35,15.0
540,8.0
170,7.0
654,6.0
874,11.0
842,8.0
833,10.0
928,9.0
733,7.0
95,17.0
563,9.0
240,6.0
742,9.0
574,8.0
690,7.0
460,6.0
553,7.0
863,10.0
206,6.0
392,7.0
794,10.0
397,6.0
766,6.0
834,10.0
217,6.0
4,15.0
768,6.0
642,6.0
881,8.0
612,7.0
738,9.0
546,6.0
725,7.0
683,8.0
98,19.0
804,10.0
727,7.0
573,8.0
406,9.0
502,8.0
47,18.0
32,15.0
779,9.0
200,6.0
134,6.0
27,17.0
865,10.0
230,6.0
489,9.0
772,8.0
378,9.0
288,7.0
418,7.0
674,6.0
391,7.0
592,6.0
498,8.0
138,6.0
62,19.0
471,7.0
647,6.0
128,6.0
959,11.0
520,8.0
838,10.0
946,9.0
64,19.0
812,9.0
14,16.0
156,6.0
40,16.0
492,9.0
379,9.0
187,7.0
763,10.0
216,6.0
791,7.0
52,18.0
337,7.0
748,6.0
719,7.0
724,7.0
295,7.0
701,6.0
251,6.0
726,7.0
461,6.0
455,6.0
979,9.0
815,10.0
862,10.0
269,6.0
201,6.0
161,8.0
555,7.0
729,7.0
401,9.0
702,6.0
476,8.0
821,8.0
771,8.0
105,19.0
565,10.0
389,7.0
1,15.0
921,6.0
965,10.0
561,9.0
80,23.0
205,6.0
34,15.0
775,8.0
508,7.0
427,9.0
454,6.0
366,9.0
91,17.0
339,7.0
897,7.0
564,10.0
345,8.0
776,8.0
241,6.0
13,14.0
315,7.0
600,6.0
387,8.0
273,6.0
166,8.0
840,10.0
975,8.0
646,6.0
818,10.0
484,6.0
963,10.0
504,8.0
831,10.0
243,6.0
566,10.0
875,11.0
562,9.0
686,7.0
189,6.0
782,9.0
699,6.0
475,8.0
681,8.0
510,7.0
58,18.0
474,8.0
560,9.0
856,10.0
747,6.0
252,6.0
21,16.0
313,7.0
459,6.0
160,6.0
276,6.0
191,6.0
385,8.0
805,10.0
413,7.0
491,9.0
343,8.0
769,6.0
308,7.0
661,6.0
130,6.0
663,6.0
871,11.0
99,19.0
372,7.0
87,19.0
458,6.0
330,6.0
214,6.0
466,6.0
121,10.0
614,7.0
20,16.0
700,6.0
71,19.0
106,19.0
270,6.0
860,10.0
435,6.0
102,19.0
810,9.0
801,10.0
813,10.0
497,8.0
67,19.0
745,6.0
677,6.0
362,9.0
493,9.0
448,6.0
548,6.0
495,8.0
864,10.0
235,6.0
298,7.0
266,6.0
107,19.0
411,7.0
66,19.0
260,6.0
314,7.0
184,7.0
687,7.0
88,19.0
599,6.0
895,7.0
198,6.0
541,8.0
312,7.0
922,6.0
174,7.0
424,6.0
361,9.0
23,16.0
30,17.0
581,6.0
307,6.0
957,11.0
210,6.0
570,10.0
855,11.0
557,9.0
332,6.0
478,8.0
822,8.0
932,9.0
858,10.0
59,18.0
974,8.0
247,6.0
420,6.0
275,6.0
635,7.0
467,7.0
70,19.0
120,10.0
39,16.0
962,10.0
408,7.0
280,9.0
880,8.0
76,23.0
930,9.0
96,17.0
344,8.0
261,6.0
237,6.0
636,7.0
679,8.0
139,6.0
919,8.0
739,9.0
209,6.0
221,6.0
158,6.0
704,6.0
63,19.0
885,8.0
721,7.0
850,11.0
626,6.0
231,6.0
357,9.0
852,11.0
907,12.0
215,6.0
717,7.0
680,8.0
968,10.0
783,9.0
86,19.0
277,6.0
662,6.0
294,7.0
669,6.0
868,10.0
442,7.0
168,7.0
797,10.0
513,7.0
309,7.0
593,6.0
485,6.0
630,7.0
254,6.0
668,6.0
835,10.0
981,9.0
978,9.0
521,8.0
55,18.0
534,6.0
490,9.0
976,9.0
501,8.0
72,19.0
244,6.0
44,16.0
706,6.0
518,8.0
617,7.0
587,6.0
934,10.0
281,9.0
350,6.0
549,6.0
352,6.0
450,6.0
909,12.0
634,7.0
136,6.0
883,8.0
290,7.0
925,6.0
933,9.0
394,7.0
60,18.0
451,6.0
425,9.0
643,6.0
714,7.0
584,6.0
199,6.0
464,6.0
575,8.0
711,6.0
519,8.0
305,6.0
110,19.0
447,6.0
972,8.0
751,8.0
730,7.0
388,8.0
433,6.0
931,9.0
516,7.0
615,7.0
440,7.0
532,6.0
137,6.0
346,8.0
604,6.0
319,7.0
737,7.0
213,6.0
547,6.0
432,6.0
559,9.0
299,7.0
445,6.0
331,6.0
78,23.0
29,17.0
398,6.0
806,9.0
803,10.0
633,7.0
165,8.0
811,9.0
695,7.0
499,8.0
65,19.0
141,6.0
218,6.0
380,9.0
296,7.0
655,6.0
757,8.0
382,8.0
765,6.0
650,6.0
877,11.0
514,7.0
49,18.0
716,7.0
334,6.0
