0,1,2
6.4134507,-1.5224794,1.4300238
-4.2168913,7.969573,4.893545
12.406416,9.3919735,5.11565
6.378406,-0.008732975,2.3738365
2.7492547,-0.42974973,3.3409705
10.774552,3.9772525,12.332616
0.73847854,1.5894916,5.1654315
-2.8880203,9.201401,5.2198544
10.927954,11.219295,0.56310356
10.214861,7.9312205,5.899748
10.721876,5.496328,9.843877
10.094974,1.128034,3.39338
11.032709,5.401245,3.690492
10.393268,6.1079245,4.134314
9.767402,2.000517,2.1816583
0.47350627,1.9393337,5.011479
0.51148003,1.9244846,5.0663815
-4.1142406,9.326823,5.5071764
10.681202,5.2845044,5.443748
11.024626,10.824316,-0.16212149
-1.823373,7.3850803,5.033599
-4.8831644,9.345692,6.040855
11.383852,8.952717,0.62650645
11.405377,9.435169,5.817694
11.115482,6.5489507,4.4429307
6.5749626,-1.567669,2.3073409
-1.7689167,9.781597,5.0737357
6.8481393,-2.5254793,2.03083
-4.6561437,9.152231,5.7907696
11.026005,4.1717544,12.6436205
10.925436,11.294396,-1.1135751
-1.8867899,9.903262,5.1947045
10.375536,4.9414563,7.4357505
11.08718,11.176251,-1.1049163
12.229695,9.444857,3.0076015
4.413976,-2.1383944,2.6582167
12.713222,9.814165,6.2170167
10.496808,5.1268954,6.9037566
11.613593,8.275193,6.7410784
10.743347,11.182068,0.5717658
10.740607,5.8353057,10.104546
10.632941,5.556102,5.845885
-0.79375863,3.1545217,3.1117735
3.236984,-1.3502188,2.340784
11.735398,10.771778,-0.6695809
10.434462,5.059366,6.150715
9.309898,0.30212665,2.3634222
10.981045,7.815752,7.9183216
6.372096,-1.2370298,1.2632449
5.199411,-2.07789,1.4046948
0.8492663,1.8184606,3.9856699
11.269437,8.843501,0.28724986
10.833477,10.49009,-0.567883
7.418439,-0.77329767,2.2347593
12.064083,9.190193,5.112997
10.335582,3.384045,3.0447023
10.552754,5.1766443,8.522553
12.3249855,9.452371,3.7035923
10.871814,11.2497225,-0.28460103
0.19975047,3.2988126,3.8657484
10.702356,11.35944,-1.0317003
2.7581487,-0.7938653,2.9512303
