0,1,2
-3.7683728,9.4253235,6.1892157
-4.0756,9.572239,6.799992
0.53551096,7.2472773,19.054253
-2.6285658,13.612139,13.423948
-2.6280603,15.945941,12.639526
-6.197987,11.657059,13.041758
-5.9407735,12.950109,13.00445
-2.114089,8.936593,6.9635205
-0.7968907,9.256745,15.733135
-3.3590758,15.095459,12.626369
-5.9429903,12.488433,13.104735
-6.1167955,12.464418,13.004439
-3.1489332,9.15697,6.176794
-0.8576156,9.392961,15.436539
-4.0545864,14.695108,12.9233675
-4.027336,14.590759,12.871421
-1.0898373,11.076263,14.641242
-4.967559,12.23149,13.3875675
-4.405124,14.295592,12.8716
-3.245151,15.62918,12.883078
0.9442182,6.0897307,18.438921
-1.3304099,11.7400255,14.257607
1.1010972,5.887046,17.557056
-4.66745,14.557152,13.03901
-5.2919283,14.190337,12.987343
0.58673054,7.50492,19.992144
0.015248732,8.2184,18.611061
0.59484214,7.4847093,19.880499
-3.273843,14.104023,13.225416
-5.4787116,14.066269,12.945999
-5.9627314,13.1164875,12.98907
-3.0402665,15.801632,12.849734
-0.8874191,9.552159,15.219087
-4.0195665,9.537313,6.6390376
-3.674104,9.349683,6.157312
-0.510549,8.799551,16.960712
-2.1539476,10.291863,14.864656
-4.829423,13.781183,13.23187
-2.814106,15.634425,12.406806
-2.8435671,9.182244,5.6620197
-4.110443,9.087555,8.584434
-2.8720877,9.304415,5.341039
-1.2258942,11.422092,14.576875
-3.741716,15.312337,13.101561
-6.1633906,12.264906,13.125033
-1.1221334,10.645633,15.003018
-4.848306,14.041714,13.208174
-4.9271293,12.8816805,13.104508
-2.581645,16.056555,12.534388
-2.008135,10.471473,14.7838955
-0.6906624,9.130375,15.719778
-5.4539113,13.302122,12.980983
-0.7041941,9.166872,17.065348
-1.8842689,11.144407,14.532458
-1.3851062,10.552377,15.191648
-6.035678,11.0288725,13.247799
-2.6048188,12.694207,13.723242
-1.247586,8.806366,7.410601
-5.708516,13.542127,12.985033
-1.3040851,11.893726,14.087178
1.09714,6.00157,18.498144
0.5203374,7.5256,19.876122
-2.9120727,13.028663,13.5577755
-0.62983,9.004872,15.988942
-4.564657,14.087429,12.9374075
-0.98224616,9.958458,14.892195
-3.0463123,9.169079,5.9279547
-5.6803465,13.509777,13.077994
-3.1007597,9.153651,6.2266765
-1.2325895,11.62347,14.319991
-0.51870215,8.787743,16.549908
-2.3822458,13.285509,13.527956
-1.3373374,10.345841,15.285536
-1.8263175,12.33534,13.930867
-1.9966646,8.885169,7.082971
0.63656145,6.880522,19.405836
-5.826199,10.18307,13.181266
-6.250447,11.009556,13.188218
-0.028181517,8.366401,18.88772
0.8569826,6.0667677,18.31079
-0.6303359,9.037161,17.560217
-1.7218635,12.235219,14.005978
-1.5178038,10.290921,14.834841
-1.2976766,11.576618,14.406544
-3.210278,14.492604,13.240703
0.7137046,7.3124003,19.945274
-4.6102376,12.350904,13.292744
-2.3479984,13.060683,13.575351
-2.261848,12.644833,13.799865
0.2766504,7.892882,19.151049
-5.554895,13.95662,12.982627
-0.029100167,8.248164,18.949352
-1.3280772,10.508896,15.1144905
-5.1116757,14.340807,12.981998
-0.7087099,9.09421,16.081167
0.42361298,8.390092,7.1719728
-4.2193327,9.62645,7.1903872
-6.1858926,12.304963,13.085729
-2.9040654,15.526109,12.880651
-0.87382483,9.341292,16.434446
0.2563735,7.9143786,19.170765
-1.8318795,10.414799,14.782849
-3.5043297,14.893348,12.657459
-5.952818,10.479324,13.293716
-5.425267,11.845638,13.321973
-4.208383,9.600843,7.379283
0.63613147,7.0835752,19.127596
-4.2529798,9.358552,8.115179
-1.7402636,12.283253,13.97553
-3.825369,9.409264,6.292097
-3.602355,14.765914,12.745495
-0.902052,9.340099,15.797893
-5.2998843,14.162943,13.018157
0.13441178,8.237557,19.281916
-5.3218584,13.697518,13.107566
-1.7745105,10.16533,15.182139
-2.0560634,11.635991,14.243514
-0.08416697,8.345769,7.50304
-0.6722231,9.075512,17.09024
-4.577584,14.164143,12.919524
0.49523413,7.663284,19.581127
-3.9271724,15.320095,13.041107
0.034788497,8.5060005,18.58034
-1.8318439,10.639023,14.920405
-4.0004306,9.611277,6.5940037
-5.8950043,10.448381,13.343494
-3.3053858,9.293994,5.759464
-3.6721845,14.9906845,12.687486
-5.3691363,11.308516,13.399182
-0.5223815,8.88256,17.392443
-2.9798458,15.595449,12.625547
-6.102151,12.425196,13.069558
-3.2699957,15.199477,12.964011
-1.7138628,8.78899,7.364887
-3.2099986,13.213734,13.431182
-0.41338208,8.735912,17.723864
-6.3326507,11.522841,13.096591
-4.988273,11.537018,13.5296755
0.6269915,8.292209,7.197066
-5.2750793,11.481296,13.3117695
-5.9931884,12.670218,13.096319
-4.5508137,14.158762,12.916763
-1.6396674,12.180491,14.015721
0.35294256,7.793711,19.226639
-3.1176739,9.245518,5.590506
-5.1121845,12.051404,13.410447
-0.65803367,9.015429,16.270262
-2.754226,13.434717,13.43516
-0.33446598,8.569371,17.780323
-0.009501445,8.046288,17.788301
-2.6391265,12.352036,13.818563
-5.609724,13.9616785,12.938169
-4.062812,14.542991,12.942875
-1.420637,10.33201,14.717659
-3.9594889,9.4614105,6.453622
0.14385971,8.023979,19.221287
-5.78153,10.3336735,13.271202
-5.5814896,10.503405,12.514504
-2.7020187,9.297909,5.3447022
-2.9032052,15.90247,12.798586
-6.0316005,13.079719,13.012241
-1.1324271,10.227124,15.599061
-3.075963,15.757647,12.878439
-2.663566,14.062032,13.302641
-2.7709537,15.70416,12.534104
-1.2993001,10.420219,14.584033
-2.623348,15.818356,12.434481
0.24583177,8.153552,7.60911
0.09135142,8.010017,18.775232
-0.86203235,9.255686,15.973044
-4.504441,13.431916,12.453618
-5.203795,13.824313,12.91666
0.96081316,5.990683,17.735977
0.62547475,7.470614,19.86601
-0.63332456,9.04481,17.520672
-3.4217975,9.336866,5.758893
-0.8255412,9.320753,15.82068
-2.2615333,12.797874,13.684248
0.038130637,8.104471,18.743818
-3.0136147,9.125803,6.153986
-4.7646217,14.521218,13.036517
0.6783055,6.845291,18.840914
-0.25726098,8.558757,18.343184
-5.4826565,13.983039,12.958042
-1.3799242,11.522352,14.446186
-3.836428,15.332572,13.062611
-3.5592701,15.564912,12.937124
0.7284547,6.6950727,19.496326
-2.9902635,12.065501,13.86348
-6.1996975,11.659493,13.053829
-5.380347,12.155553,13.305975
-1.145113,10.523988,15.35837
0.19583772,8.168516,7.672521
-3.1846259,12.139699,13.78819
-6.2549057,11.310604,13.111487
-3.633448,15.512922,12.9573965
0.1560855,8.175497,7.66833
-0.4807632,8.523259,7.361713
-6.2898283,12.138896,13.057095
-4.8181434,12.803468,13.15095
-0.14487141,8.455955,18.589317
0.7131834,6.819822,19.381023
-2.8994417,12.057626,13.895956
0.071187176,8.0127945,18.626595
-1.23467,11.728096,14.243816
1.1483028,5.9735446,18.526583
-1.9063303,10.340853,14.963987
-3.5074966,15.467806,13.032975
-0.6328803,9.01646,17.456764
-6.097333,12.137997,13.156727
-3.3600016,15.377482,12.997585
-6.2804303,11.663871,13.1046095
-2.3094869,12.503129,13.864862
-4.1080813,9.100196,8.552049
-5.0569434,13.097125,13.194801
0.896711,6.081116,18.342993
-5.892695,13.286995,12.948557
-6.29278,11.428792,13.164729
-0.28341636,8.509949,17.86675
-1.0362556,9.880466,14.978332
-6.31351,11.972996,13.067757
-1.6173443,10.896056,14.841471
-6.07504,10.700652,13.193869
-0.4551452,8.800973,17.449083
-6.2029805,11.137507,13.160292
-3.9125643,15.284932,13.033094
-1.2811815,10.427085,14.642442
-4.5805473,14.700865,13.005637
-5.9063187,12.465454,13.032391
0.5462022,7.532235,19.839098
0.053256772,8.169317,18.92573
-0.27973473,8.577656,18.248472
-5.392188,11.046465,13.381723
-1.250209,11.620557,14.330139
-6.1215987,12.608897,13.036758
-1.5606465,9.0300665,6.9471827
-2.8404021,15.964378,12.741192
-0.5738188,8.968346,17.520533
-1.0317887,8.66137,7.331669
-5.6305704,13.794189,12.997051
-2.6945803,15.798445,12.755003
-5.3516393,13.11862,12.989403
-2.6174598,15.788199,12.642105
0.6627847,8.262073,7.2313886
-5.603165,10.968229,13.33204
-6.2207623,11.186348,13.162563
-0.9446805,8.685222,7.340775
-4.025121,9.604038,7.0078225
-2.7551448,12.59832,13.708814
-3.72192,15.455531,12.879724
-2.8379014,15.871628,12.785507
0.7493912,7.3362484,20.026114
-2.51326,11.353179,14.281974
-4.2988596,9.48959,7.723992
-5.5427017,11.050654,13.357023
-4.712496,14.149276,12.920506
-0.09840457,8.143943,17.427132
0.38753346,7.4436407,18.607327
0.6312387,7.036171,19.119675
-4.0693626,9.497783,6.64307
-2.7639976,13.352813,13.451949
0.19104005,8.585916,17.953012
-5.8890085,10.284218,13.2342825
-6.0637164,13.048125,12.957235
-3.43051,9.314712,5.7800307
-5.6499763,13.648579,13.060332
-0.7303226,9.165271,15.729685
-2.9089983,12.640257,13.685777
-2.848192,13.022174,13.63093
-3.873664,9.301906,7.842023
-1.1397524,11.289789,14.597778
-0.90852493,9.61863,15.166122
-2.759976,16.058002,12.664237
-4.058153,9.503737,6.6381993
-3.9643202,15.287184,13.033178
-2.629975,15.795177,12.562352
-5.1262193,13.720039,13.262363
-3.1357074,9.258241,5.5739727
0.7211036,7.276395,19.957304
-4.065735,9.459519,6.61728
-1.0648894,9.974652,15.91494
-3.9388404,14.626455,12.829584
-6.1638618,11.561508,13.036162
-4.055846,15.19669,13.035181
0.4416215,7.4143305,18.777704
-5.2914543,11.300624,13.3673115
0.7976798,6.2510467,18.385904
-5.289128,13.541112,13.244916
-4.1077275,14.463439,12.916291
-1.308611,10.489557,14.500797
0.27879366,8.066818,7.7752275
-4.9076447,13.129883,13.002721
-0.8567345,9.49821,15.262004
-2.6547203,13.724555,13.404247
-2.8232563,12.951093,13.654963
-0.7342039,9.096901,16.309381
-2.5775,12.568111,13.769598
-1.4273213,8.950193,7.065186
-0.7667502,9.191581,15.97294
0.073384136,8.160633,18.909693
-4.899981,12.730974,13.1550045
-4.7068343,14.19355,13.234234
-5.7649174,11.481364,13.189606
-5.855654,10.188546,13.162104
