0,1,2
-3.6788743,2.361963,15.274987
4.1086607,0.74174154,13.555
3.359687,-2.4629366,12.406575
-4.4899707,2.118296,16.092703
5.1333194,0.8651094,13.6998625
8.170759,2.271136,13.063636
8.113514,3.233479,12.772858
-6.895456,1.638842,15.089367
-3.6706824,2.3709896,14.884625
3.8041053,2.6246834,14.120865
4.8271074,-1.8857878,13.255464
5.371842,-1.5441624,13.456542
5.9102473,-1.0769498,13.763233
-0.17567992,2.7654138,15.318357
4.014108,-1.8194253,12.833316
8.306423,3.1201549,12.884441
-5.0066404,2.0850728,15.740449
1.6561725,2.479456,14.968342
-3.7676435,2.2746918,16.415909
5.9662204,-1.0204057,13.824752
-3.4401636,2.3165908,16.372187
2.2642746,2.6199343,14.962838
6.407036,-0.4794415,13.686952
-4.4790497,2.2546124,15.961963
7.896305,3.1569555,12.640887
7.8183804,1.9468223,13.03532
5.5921416,-0.010587532,13.582095
3.5610638,0.091905236,13.37415
4.6336865,2.5164254,13.767111
3.2742443,2.3172324,14.352289
-6.915717,1.4879208,15.731947
6.5218587,-0.49785218,13.827251
4.639669,2.502739,13.769136
8.165608,2.3926766,13.050924
7.682867,1.4363729,13.413192
7.096804,-1.0749732,11.885071
7.8372316,2.6787267,12.651485
-4.686676,2.02523,16.029812
-3.1515477,2.4673684,15.831361
-3.626117,2.317918,14.897711
8.246726,2.4617815,12.99539
8.054504,3.2683542,12.684463
-6.8794336,1.530793,15.654656
3.1913116,-2.4641516,12.248947
-2.2324672,2.6379817,15.101108
-6.5299244,1.6362327,15.453425
5.3315663,2.3712142,13.535499
5.641925,-1.2869691,13.626673
6.9544725,0.21521075,13.872941
-2.0290096,1.6746619,16.390335
-4.346363,0.52640814,11.906626
-2.6850486,2.3820343,15.8804455
4.021414,2.5431392,13.9841175
3.611748,2.5110414,14.164541
0.41377956,2.114673,15.300042
7.847045,3.1131828,12.738461
7.1081133,0.63102204,13.717681
-6.799673,1.5753832,15.593855
-6.291243,1.4360194,13.795238
-0.7880246,2.647193,16.28502
-0.85196835,2.5886505,16.471066
-6.626531,1.6657313,15.252215
-7.1926293,1.6316574,15.094792
-5.8425894,1.8476553,15.356211
5.440392,-0.35236156,13.503384
7.4942327,2.6542501,12.941479
-4.345538,0.5237655,11.9018755
-5.830131,1.84068,15.707632
6.7581778,0.8843661,13.648256
4.152062,2.468513,13.907334
8.230855,2.726963,12.932353
3.591637,-0.73651296,13.029489
3.3487043,2.6612525,14.347207
3.4379177,-1.9553678,12.518827
7.5623527,2.4609532,12.786262
5.178814,0.51039624,13.672982
4.986326,-0.78646743,13.216353
5.0339713,2.279642,13.684517
8.246603,2.8439076,12.86301
3.5312529,2.1716037,14.183922
4.275546,0.9454585,13.5532465
-4.270749,2.1417344,16.035131
3.1156828,-2.5090992,12.15534
-3.581832,2.3653965,14.835282
1.54962,2.6006925,15.269428
4.8251595,1.4783736,13.604192
4.850153,1.2817746,13.644401
-3.5779097,2.305206,16.32474
-5.0557785,1.9811224,16.139616
-4.3662386,1.9219556,14.426228
6.226156,-0.6110135,13.956231
7.615996,2.250952,12.895881
-3.5819468,2.2950528,16.309246
4.0142117,-1.9653826,12.894598
-4.015046,2.2973194,14.928466
2.9465673,2.4593818,14.515325
-3.7919822,2.3452191,15.138953
4.020714,-1.9409399,12.9093685
4.3930006,-2.9404101,11.637195
-4.3025484,2.1569111,15.755831
3.6623847,0.39262703,13.439257
2.6909108,1.8675913,14.426065
7.4468894,2.8687317,12.894809
0.7227501,2.100489,15.12808
4.4381986,1.2035792,13.676229
4.9612536,-0.9805804,13.262091
4.719433,-1.8646259,13.185864
5.5202127,2.1433735,13.513786
-3.2874854,2.4250212,15.820921
-4.381337,2.2230985,15.389848
3.6632385,-0.51550394,13.168795
5.1223354,0.33572027,13.421852
-5.528645,1.9004487,15.910965
6.9116697,-1.3117247,13.883781
4.284112,-1.8261467,13.045589
3.3447273,-2.0025775,12.346099
-3.31946,2.4407594,15.58411
-5.450952,1.9140731,15.890928
5.157619,0.37555903,13.473489
-5.5499144,1.9557986,15.414294
-1.8574044,2.5929263,16.087988
3.8015034,2.613456,14.09928
3.455668,2.0859337,14.171803
7.5534163,2.1701267,13.051947
-0.8464962,2.634982,16.27306
3.4064586,-2.3457346,12.430691
-0.3327102,2.6189804,16.360497
3.7894127,1.952168,13.965883
4.9746695,1.3440396,13.63885
7.233528,0.809948,13.592476
4.035344,-1.8884783,12.939013
3.2438412,2.011586,14.222236
8.081301,2.6947057,12.695431
5.436146,-1.5178163,13.506545
-4.5932727,2.1069105,15.88072
4.95263,-0.93259895,13.231813
3.035472,-2.4143004,12.0706
-3.292924,2.41282,14.809723
7.669122,1.3802891,13.399411
-5.000112,2.076608,15.848716
4.826194,-0.7907804,13.171393
8.133639,2.483312,12.923755
6.6256514,2.4211342,13.25762
7.2597136,2.6662526,13.001503
3.8932192,2.0681977,13.96454
-4.603912,2.0519435,16.019646
4.3603377,0.40899292,13.508255
4.15832,2.604967,13.978528
-4.826313,2.079969,15.94916
6.8700385,0.34684986,13.289784
-4.439784,2.1816332,15.829289
-5.9712787,1.8627942,15.064992
-6.3560424,1.7475901,15.116257
7.475342,2.7664592,12.852554
3.6526003,-0.12655832,13.287835
-6.6643715,1.5955348,14.369526
3.3139074,-2.3881457,12.380525
-5.1435966,2.0304947,15.902594
-5.400647,1.9286318,16.030548
6.9008355,0.26782128,13.844
3.621721,-0.017483372,13.304391
6.4915566,0.022503035,13.28222
5.0157175,-0.5935076,13.202978
-5.2386246,1.9196465,16.124651
7.2299,1.2945733,12.97526
-5.3590927,1.9895525,15.654298
3.8203144,1.3449643,13.790414
-2.2442453,2.547584,16.276438
5.4212227,0.25820863,13.581048
5.1326537,1.7300074,13.569511
3.8483138,2.5128295,14.056265
2.659955,1.8894585,14.439523
