,Stress
856,8.0
714,16.0
930,8.0
193,7.0
440,11.0
573,6.0
503,7.0
605,7.0
148,6.0
684,11.0
743,7.0
846,6.0
3,6.0
533,10.0
824,10.0
467,8.0
321,6.0
5,6.0
222,7.0
341,10.0
547,10.0
228,6.0
39,6.0
542,8.0
242,8.0
898,10.0
372,9.0
136,9.0
289,7.0
713,21.0
707,14.0
580,8.0
829,6.0
445,10.0
842,6.0
66,12.0
385,10.0
130,6.0
780,10.0
581,9.0
721,15.0
917,6.0
661,10.0
436,8.0
809,10.0
376,7.0
686,12.0
965,10.0
624,6.0
314,6.0
697,12.0
442,11.0
696,12.0
319,6.0
281,6.0
691,16.0
481,11.0
470,10.0
424,9.0
553,6.0
594,8.0
911,11.0
368,8.0
922,6.0
358,10.0
622,6.0
449,7.0
579,8.0
133,6.0
227,6.0
439,8.0
815,9.0
298,6.0
75,11.0
66,11.0
393,12.0
579,9.0
24,6.0
211,7.0
784,10.0
144,6.0
536,6.0
811,7.0
96,16.0
392,9.0
85,6.0
759,10.0
272,9.0
952,8.0
256,9.0
588,8.0
51,13.0
761,10.0
630,8.0
1,14.0
340,10.0
901,7.0
825,9.0
339,10.0
120,6.0
505,7.0
273,9.0
21,13.0
507,7.0
285,9.0
362,8.0
576,8.0
128,6.0
43,14.0
192,7.0
322,10.0
53,13.0
665,8.0
364,8.0
77,7.0
27,6.0
403,10.0
525,9.0
835,11.0
55,8.0
638,6.0
302,6.0
718,18.0
624,6.0
7,10.0
803,6.0
336,6.0
47,6.0
446,7.0
106,6.0
349,6.0
238,7.0
213,7.0
225,6.0
282,9.0
793,6.0
907,11.0
635,11.0
523,7.0
232,7.0
644,7.0
474,10.0
533,6.0
475,10.0
603,7.0
301,6.0
272,7.0
60,7.0
233,8.0
92,8.0
666,8.0
280,6.0
90,8.0
359,9.0
180,6.0
145,12.0
847,6.0
628,7.0
110,9.0
42,6.0
125,7.0
204,6.0
52,8.0
545,10.0
68,11.0
511,10.0
710,14.0
183,7.0
137,9.0
899,10.0
796,6.0
132,6.0
80,6.0
506,10.0
541,8.0
560,11.0
0,14.0
165,6.0
248,6.0
446,10.0
124,6.0
858,6.0
186,6.0
97,7.0
921,6.0
737,19.0
527,7.0
102,7.0
434,8.0
74,7.0
748,7.0
176,6.0
918,10.0
673,11.0
634,11.0
585,12.0
762,17.0
6,14.0
388,11.0
235,7.0
473,10.0
267,7.0
756,21.0
117,7.0
571,8.0
673,15.0
249,6.0
419,11.0
942,9.0
94,8.0
33,6.0
889,6.0
631,7.0
448,10.0
716,16.0
732,6.0
484,11.0
0,6.0
659,7.0
118,6.0
125,6.0
82,6.0
257,9.0
676,15.0
418,11.0
63,12.0
770,19.0
190,7.0
250,8.0
892,6.0
639,11.0
404,6.0
687,12.0
266,6.0
307,9.0
104,6.0
688,16.0
346,10.0
826,6.0
62,7.0
852,6.0
320,10.0
223,7.0
145,7.0
105,6.0
373,9.0
387,9.0
159,6.0
782,10.0
461,10.0
566,10.0
240,6.0
9,10.0
449,10.0
708,15.0
255,9.0
882,9.0
389,11.0
908,10.0
924,10.0
698,12.0
206,6.0
460,9.0
239,6.0
185,6.0
958,11.0
501,7.0
739,19.0
804,10.0
868,6.0
731,18.0
539,8.0
697,17.0
359,10.0
343,10.0
162,6.0
48,13.0
372,9.0
667,8.0
492,9.0
357,9.0
967,10.0
783,6.0
735,19.0
52,13.0
970,10.0
491,9.0
453,12.0
490,9.0
457,12.0
939,9.0
677,11.0
885,9.0
79,6.0
189,7.0
814,7.0
254,9.0
671,15.0
498,7.0
57,7.0
133,9.0
157,6.0
933,10.0
646,7.0
823,7.0
231,6.0
504,7.0
769,10.0
347,6.0
386,11.0
41,14.0
894,7.0
828,6.0
844,8.0
475,7.0
437,8.0
562,11.0
652,9.0
172,6.0
166,6.0
38,6.0
713,16.0
90,8.0
