tsne_3_f1,tsne_3_f2,tsne_3_f3
-60491.59,-10769.353,2225.888
-28715.385,-14745.222,128.60506
-16985.129,47171.43,-12003.89
-13783.805,-19972.674,-4052.596
-56458.848,81041.84,-8592.202
-27498.086,-22528.764,-3375.0977
-58892.14,25156.406,-3591.8416
24586.59,114.196,22396.504
-63475.56,-28087.172,2412.4783
274095.9,19511.914,20770.844
-61911.277,3801.7327,-1232.7609
11158.801,-6876.2134,20161.307
51359.266,10718.636,-24141.283
-18580.188,3102.143,16439.354
-61767.125,-5455.937,369.25955
-55546.992,-13456.789,2034.5984
5677.8066,-10811.996,-9797.695
-48157.188,-9154.01,4107.94
141556.89,8219.708,10212.281
-38647.89,-3343.2065,-339.3076
-61131.04,-21624.22,1187.2067
-39986.617,-21431.496,-1398.7328
119637.12,7773.0967,-4899.372
-58051.062,4003.0247,1497.3838
59836.562,-626.9539,16125.652
58995.96,-8631.532,7409.7773
-60480.445,26236.566,-3479.6729
-1350.1998,-12367.847,3795.8154
-61775.867,-9678.424,132.44666
-57647.63,54314.6,-5338.851
-42135.43,-7107.5615,2794.278
112049.914,-573.4058,-40024.8
217394.02,27398.707,61903.63
45691.5,-13886.829,-16358.02
-57363.043,-18981.756,1534.7136
-63079.65,-27586.887,2338.3787
-63512.812,-26895.613,2252.9543
34730.613,-14223.428,-10351.019
-57198.902,76974.89,-8662.167
-61723.82,-750.61676,-846.06793
86980.83,-6157.112,1890.4862
39248.156,-10688.102,11474.66
114416.53,-2053.8687,-5033.062
-63292.48,-21341.025,1571.6582
-56465.49,75086.03,-7746.543
-19603.701,-7965.8696,7902.1777
-2871.0803,-1261.2466,31394.055
-24341.457,-16767.613,2086.5632
21995.947,17367.752,17704.719
-50128.87,-23607.885,2646.4775
-30479.838,20109.324,-6093.9
-62004.125,-3796.9482,-95.9297
-56409.45,-20042.965,1683.2454
-62679.375,-9748.911,201.8198
53741.15,9340.682,-1828.8325
14928.176,-3769.896,-9009.906
49040.863,-2197.8032,33836.965
-33411.332,-17882.14,-598.06934
-60741.566,-13116.632,999.5493
-60648.645,23462.09,-3156.3772
-10240.466,-10083.337,-11847.822
-35094.797,-6308.598,2440.6372
-18407.246,6358.7104,2025.7598
-62218.375,-26227.889,1822.3502
-61248.87,10427.458,-1731.1312
80672.55,-4786.372,-178.13826
-53977.973,-3243.3875,-303.5594
77599.72,-5813.0815,-9558.798
28190.133,-12393.498,6211.6875
-60862.41,16699.906,-2487.8208
-63557.7,-26411.055,2080.5107
-50630.45,51727.508,-5967.9053
-59254.332,38014.2,-4623.8296
-61141.113,-25368.64,2012.2207
-13615.979,3307.647,-3687.2712
-63078.535,-16108.878,866.2449
-61504.953,1095.9569,-438.9086
-47703.61,28363.28,1373.2155
-57710.797,-314.98175,522.4101
82865.66,-7041.537,3367.881
267364.3,-1749.631,-57465.016
-46146.082,-17695.084,4403.2695
-61096.383,426.49698,11.62233
-32107.287,-6089.594,6838.0947
-61528.094,7948.2476,-1603.4722
69768.055,-7809.1157,662.0461
-34842.15,22316.482,-1890.2667
7912.469,-8095.0884,-13329.558
73542.734,-3035.3127,17322.691
85562.39,-1883.4069,14004.052
-62754.723,-21501.162,1823.5122
-59979.258,12812.652,-2095.8687
-60623.53,23893.125,-3292.313
-62732.086,-17219.42,1027.6727
-61537.45,-15203.222,1339.876
164319.66,-5488.4263,-15050.255
-8513.462,-21706.18,-7162.3975
-22735.902,-19955.168,-6656.0903
174036.66,4247.0933,-5339.8755
-60486.55,-19759.973,1484.4327
-58574.176,40199.96,-4443.799
69261.61,-747.08154,15584.873
-57873.445,-14989.911,1644.3156
-10706.56,13389.259,-8358.455
-60181.43,19923.043,-2988.0525
18222.115,-13129.1045,-3146.5352
-27867.688,-19263.006,-1756.5289
-56968.71,77212.43,-8655.943
-61762.94,6258.4883,-1607.1426
-42634.51,-2708.8953,506.28732
-62690.586,-25979.268,2065.5898
-32615.979,-8976.513,4530.8286
119144.98,-2435.5012,5710.4297
265982.16,19196.75,43865.387
59389.97,-14665.715,-18987.47
86049.05,-1071.8196,-27421.875
-53380.81,-10328.99,2073.0764
-34258.203,-12470.495,11517.336
48342.074,-7934.584,3405.7786
-56623.793,42573.797,-3636.3613
-55486.688,601.2593,-1275.9078
86469.76,-5342.0015,-1135.6262
48117.16,-9667.379,9926.81
99569.3,-3727.3699,-4681.617
92426.195,-6543.645,-20092.293
56453.703,3579.8857,-24611.809
5675.5854,-5662.1523,-5953.37
-58907.4,43954.14,-4874.0474
-39633.496,32147.396,-1799.5726
41470.973,-6743.8643,-3454.9517
-9234.992,23497.34,-15698.085
-18811.348,6741.7637,7244.8174
-57100.023,-15933.759,1088.7235
28610.164,14471.499,25486.242
-62743.48,-23913.207,2154.4126
-62289.27,-13672.464,568.2511
-61150.184,4944.436,-759.45044
-23061.805,-18473.213,11695.8545
85092.53,-7536.2324,-7362.6807
6155.306,2576.5237,8588.784
-50695.773,433.30408,-1417.4142
-61630.82,-12924.699,1150.0667
-60182.668,-6657.5513,-61.79395
-47589.754,-19809.38,-1597.999
-61825.117,4665.915,-1222.6312
160711.56,-7027.793,-27583.121
-55093.62,-25037.549,1006.0132
-30299.35,-9896.496,12134.72
-25075.75,-14334.564,-790.9944
34975.867,-6105.6445,24195.873
144940.47,-9810.051,-49559.094
-52201.45,-19298.69,1841.8285
-20269.742,-20371.57,-2733.9927
-59862.152,26278.158,-2991.0264
-62672.59,-23741.896,2425.711
44713.312,3844.435,12753.684
-53534.2,17001.707,-70.00858
104526.516,-3942.4678,16033.19
-39318.926,-20664.88,8650.193
44393.316,-8099.342,14059.184
20259.275,-12889.973,11965.541
-32331.35,72181.26,-4284.435
-46574.184,-12435.146,41.28864
48141.406,1049.4702,10217.423
-17218.203,-19984.6,-6041.7427
216320.64,-6154.9263,-59500.652
-31353.4,-18118.773,1172.2432
-60138.305,-3290.7153,1342.4547
-43863.61,26832.246,2439.2288
13763.647,-2478.5845,7771.9253
-62579.14,-25885.854,2372.1511
-61770.94,4521.469,-1280.6196
-60443.367,14124.211,-2228.7336
99775.75,-11250.35,-43119.08
-24144.574,-4631.806,4622.6113
-59884.508,-13344.906,844.6979
53165.87,-10443.989,-1216.6553
-59804.676,-19977.53,2304.2334
-62050.453,439.14,-812.68274
104413.445,-5188.2817,3624.8938
-48150.266,-9986.043,5903.738
3388.0637,-12946.602,4075.8665
-63026.895,-24027.26,2230.0571
-60195.992,11507.394,-1629.211
32430.797,-4423.295,2332.531
-30435.113,-21899.957,1131.1841
-62329.387,-7866.5156,205.6202
107790.484,-9695.187,-17720.365
11193.684,9503.905,1866.5945
-1866.9518,-10530.274,-4325.437
31394.398,-112.135086,29674.838
-61299.86,8155.808,-1345.8801
-6639.5005,-21160.365,-9132.166
62741.9,5362.9585,33571.5
-60177.355,17622.754,-2572.5317
-52202.098,-3879.3953,209.51727
37306.617,7063.7563,48175.42
-63764.457,-30904.283,2644.261
30841.959,-12716.327,-18941.748
-15603.113,-2244.2388,20760.494
27520.814,-18828.781,-21275.746
-42342.867,-6021.3096,-6.2661147
-46297.723,20572.8,1954.8771
-57031.82,70787.58,-7631.5786
-16887.68,-19557.969,2235.0444
63686.543,-14939.933,-25895.18
4694.017,-5143.843,6508.9546
-56141.56,45902.383,-3350.2407
146374.22,9465.418,42655.066
-25117.594,-9293.513,-3061.2673
-59699.0,35090.863,-4229.1353
-57101.926,30444.809,-1528.7123
-61168.098,13552.035,-2248.993
-42171.914,45043.188,-4520.242
145455.89,4387.442,-49515.54
10734.927,-15319.598,-3719.164
-59210.79,-13777.472,2242.2073
-36975.23,12869.412,-4843.8604
-60091.13,10730.489,-2041.1592
116913.11,-3243.1843,-7729.8794
-39859.875,-22433.568,-2980.9482
99647.58,565.63477,29288.002
86206.016,-5417.3,6248.4883
115742.63,-10627.314,-36129.434
51339.203,-9782.76,13193.864
-56864.56,-28215.48,2026.4369
-57096.074,-21297.8,744.86426
-54453.12,24673.77,-4387.7397
13156.287,-1278.4602,-7953.8267
144942.64,9376.515,-4598.0747
-57955.2,20098.982,-315.3696
49078.5,15775.64,9204.081
81428.15,-7663.4907,-23065.922
51627.125,-10453.392,-6842.5913
-61678.582,5527.6855,-1295.7808
78378.914,-13127.097,-16035.324
-63717.305,-30358.125,2584.0298
130551.64,-5440.017,-7273.4663
-61886.418,-18900.303,1264.6304
57964.527,-3196.2217,23418.977
-63270.586,-26599.531,2385.2842
21476.34,-5000.1807,-7744.4043
-60908.363,17907.021,-2481.7324
-53919.125,32513.936,-4469.5386
20812.588,-5353.871,4232.172
65400.203,-9209.198,-9836.685
-56379.13,9870.325,2580.7942
31721.154,-10069.814,10676.743
-8953.953,20398.316,-1940.0352
43729.684,-14478.918,-8685.204
-34428.59,20314.477,-242.74432
106027.89,988.1698,-5947.1333
-63068.938,-24975.43,1947.1249
-55229.117,-14396.238,1220.8324
-20916.203,-14724.69,-5433.325
76847.305,-8374.101,5972.0757
301152.44,14343.241,11759.503
102220.44,-10057.501,-31784.346
46963.777,-10303.39,-3963.135
-39587.676,-13942.608,4577.466
41868.51,-2370.5105,-7914.3687
-44323.73,-2280.426,783.0918
-57506.625,57334.277,-6296.536
-38422.645,-5605.4663,2499.647
-9745.63,-4085.052,12780.259
-61680.496,-10238.975,1162.1418
-60208.27,23775.594,-2823.983
66959.81,-15537.278,-23721.55
45942.113,-13083.285,2760.0579
-59446.465,41594.8,-4916.0967
-43160.395,-6977.8994,-2587.736
-61919.46,-23261.068,2374.153
-56067.676,82245.49,-8711.231
-59022.754,2912.8445,-1622.8579
-62739.71,-26813.441,2280.4434
-38904.492,-18898.15,-3530.0974
103083.35,820.9943,-7061.3853
87368.21,-7343.495,-841.9896
-62005.582,-17245.998,1342.2549
-61036.55,-9142.185,248.33392
-52950.5,-9987.228,5261.5493
2451.422,-1609.516,-11114.724
-62272.832,-19286.451,2103.2407
-61150.684,8044.797,-1184.8708
-58682.195,18407.982,-2466.638
-51736.97,100882.05,-8733.868
-8180.9087,-5399.152,8741.95
-60754.69,-5798.182,-272.76364
128268.37,4146.9536,23394.152
-57475.258,36597.715,-2466.4487
-57806.355,34990.69,-3185.2786
12323.917,-16446.46,-5679.4653
-32527.244,-20592.805,5073.9023
-56604.08,-9812.671,-469.48248
-56574.87,78116.24,-8304.94
-30665.139,25216.193,2445.2786
-29950.863,12134.536,-4055.4963
-41013.367,4521.9814,-1292.588
112088.74,-3216.904,-5244.936
-63153.78,-18666.406,1221.8989
109419.71,-8232.826,-18254.768
-61631.8,6630.5215,-1413.293
-40441.547,35323.707,-7631.021
-59236.535,38961.305,-4353.046
-47526.984,66189.28,-7631.0024
-60254.438,29656.729,-3791.802
1414.294,4023.745,1796.5364
34432.85,-18193.201,-21362.771
-52113.61,-5630.327,-294.66272
-59541.48,19804.6,-1731.1155
-17866.041,-14984.582,7818.6836
-59068.707,27711.988,-2513.54
85272.24,11230.944,26370.86
-60156.945,29663.12,-3671.4316
77497.336,-12378.286,-17303.762
-49189.117,72760.45,-7931.819
-61505.586,-4960.869,78.330284
-20564.926,-16917.068,2509.7065
28660.396,-3252.5886,31388.314
11774.731,-1034.504,36426.062
-41478.395,-20541.338,4675.1875
-46571.406,-13577.467,1128.9935
88579.336,-5976.05,-304.43494
-61568.426,-3835.0845,301.1557
-30920.236,30769.717,94.981575
-50769.414,-22327.299,1031.0249
135135.38,7664.2476,391.7202
-63405.113,-23054.094,1612.8353
-60942.37,18550.283,-2717.9739
37200.18,-8106.106,3894.962
-61390.477,-1762.9032,101.371895
10095.208,4432.2134,-7009.0703
231847.39,0.081129394,-56246.44
-61168.85,-14348.211,2277.1792
89289.92,37.907055,24958.664
244683.48,6739.217,235.11012
-60456.49,17258.383,-2123.3198
147480.44,3444.6587,-12459.108
180463.88,24983.77,34192.117
-60555.08,3316.6729,-1154.7601
-30546.791,7306.531,-1127.8784
-61248.664,-6751.651,989.3892
-61589.29,-29994.844,2126.3506
