,Coefficient
zc,-1.9829459527681061
mav_arr_3,-0.6077766456257632
rmse,-0.0
mav,-0.0
var,-0.0
energy,-0.0
mnf,-0.0
mdf,0.0
fr,0.0
mav_arr_0,-0.0
mav_arr_1,-0.0
mav_arr_2,-0.0
std_0,-0.0
std_1,-0.0
std_2,-0.0
std_3,-0.0
