,importance
TR_Mean,0.1651032406297007
PR_Mean,0.1526549848425455
HRV_TINN,0.057390464012614495
RS_Mean,0.052531941799723654
QRS_Mean,0.04996016378447085
HRV_IQRNN,0.048036789867428674
HRV_MedianNN,0.033071546327267734
HRV_MadNN,0.030385433369695892
HRV_MinNN,0.030377829079825145
HRV_MaxNN,0.029159802901857237
HRV_HTI,0.02910013378483485
HRV_CVSD,0.02899091860338588
HRV_pNN20,0.026686440067555873
fft_total,0.02620942974958503
HRV_pNN50,0.024087378762429473
HRV_Prc80NN,0.01953127646147914
HRV_Prc20NN,0.017985539810236737
QR_Mean,0.017508889147735716
HRV_CVNN,0.01436530324915189
HRV_SDNN,0.013638633943452027
HRV_MCVNN,0.013388093430364956
TT_Mean,0.011497801200445851
HRV_MeanNN,0.011390538782328437
HRV_RMSSD,0.011359689033559727
HF_Norm,0.010985892929899928
HF_Rel,0.008732189889282205
HR_Mean,0.008590508256732453
LF_Norm,0.008468615975472651
LF_Rel,0.008200436975844617
HRV_SDSD,0.007776538036378653
VLF_Rel,0.007576383921374759
SS_Mean,0.007121836186836638
PP_Mean,0.007052963366502737
fft_ratio,0.005893815965049061
QQ_Mean,0.00518855585495101
VLF_Peak,0.0
LF_Peak,0.0
HF_Peak,0.0
