Task,File_number,Stress
MANUAL,1,11.0
MANUAL,2,12.0
MANUAL,3,14.0
MANUAL,4,16.0
MANUAL,5,14.0
MANUAL,6,13.0
MANUAL,7,14.0
MANUAL,8,13.0
MANUAL,9,15.0
MANUAL,10,8.0
MANUAL,11,8.0
MANUAL,12,6.0
MANUAL,13,8.0
MANUAL,14,7.0
COBOT,1,7.0
COBOT,2,8.0
COBOT,3,6.0
COBOT,4,6.0
COBOT,5,6.0
COBOT,6,6.0
COBOT,7,6.0
COBOT,8,6.0
COBOT,9,6.0
COBOT,10,6.0
COBOT,11,6.0
COBOT,12,7.0
COBOT,13,7.0
COBOT,14,10.0
COBOT,15,11.0
STROOP,1,10.0
STROOP,2,10.0
STROOP,3,6.0
STROOP,4,10.0
