patient,rmse,mav,var,energy,mnf,mdf,zc,fr,mav_arr_0,mav_arr_1,mav_arr_2,mav_arr_3,std_0,std_1,std_2,std_3
3.0,0.23320823655606074,0.17680212939810772,0.05438789452740517,1631.5824479276275,215.64916833344182,410.43333333333334,11433.0,1.4678553401649246,0.051952550993788524,0.2478836446526457,0.25008115808571724,0.114418588181695,0.08819302916595399,0.42706198723092514,0.41938072410219085,0.1859289776711455
3.0,0.3491870065287816,0.26071685300179215,0.121935630049533,3657.9469658559406,214.13170273473852,412.5333333333333,11417.0,1.454423845433464,0.08123385323363334,0.42072141920731876,0.34976526743007214,0.17000624646956802,0.1389335537032021,0.713834677295401,0.5862571867889994,0.2765141067304809
3.0,0.2861386395523783,0.2052702273427854,0.08187805031322964,2456.259631346576,219.0705556300173,404.26666666666665,13146.0,1.3918566736163684,0.06293860041782907,0.29437703855249026,0.26895169991378753,0.1495986418442633,0.11298013842767575,0.5447990654507423,0.47026583843641956,0.2403405889147173
3.0,0.2478798431700495,0.1823171828254147,0.06144646486550385,1843.33249950025,238.83336706766724,395.6,13633.0,1.4217064535995285,0.05546552924320888,0.274568791155565,0.22489315171023358,0.1392182501189437,0.09516316511775652,0.48836539396516043,0.3884935370127814,0.22624090487385531
3.0,0.32897323758418284,0.24020221103277012,0.10822699861323964,3246.701731398576,230.44541351832822,406.2,13006.0,1.594108625186509,0.08000587746028529,0.38611736675316943,0.3049294934765076,0.16990291748279202,0.13880992403521436,0.6691144482759481,0.5331088435409743,0.2746993406969933
3.0,0.29072956815161244,0.22393118288549402,0.08452649934760131,2535.7104539286915,245.66460568140158,394.96666666666664,13862.0,1.3827189964916569,0.06489858826393308,0.34339552800295287,0.2715054404292147,0.18131223365330054,0.10692322146393772,0.5734175671477844,0.45274069549059287,0.28380292586081046
3.0,0.2991662217456676,0.22275163115707344,0.089503411680634,2685.012847007339,240.06008638259118,401.1,13644.0,1.4627957656764599,0.06837273815803635,0.3400129319427144,0.27632207438920614,0.1722768011407324,0.11837661555763782,0.5937869010148357,0.471894779775779,0.2799009403307999
3.0,0.32749847583179315,0.2431921261263841,0.1072588269663798,3217.6575501644274,258.2567611966881,395.6666666666667,14429.0,1.195578973923275,0.05648985539903284,0.3539044628057516,0.2946534959713904,0.20907726429415366,0.09651885780052923,0.5983831836404659,0.503971709036758,0.34835268070102055
3.0,0.3635296562592081,0.26753378310959375,0.13215821625381313,3964.61432939814,240.4622324942154,406.1333333333333,12910.0,1.217144253167966,0.06193555781179822,0.3774040102278305,0.3507228176471207,0.21807827993905526,0.10541403331255682,0.6302280037395446,0.5875476848371275,0.3746192590681896
3.0,0.17080867078574977,0.11732650008503309,0.02917657456808025,875.2680604678394,204.45445145569937,421.5333333333333,10476.0,1.6270962704993621,0.03747980663388236,0.19853703824601626,0.1630217647401585,0.06430623357981412,0.06675832082331525,0.3585238771073049,0.28816456067167406,0.10991788969252002
3.0,0.2913250704377276,0.20421852488850176,0.08487312576973927,2546.108899966408,195.93558563568035,425.7,9713.0,1.6546718209421194,0.07450526336432875,0.35613592109815273,0.2871347772831836,0.10498839330466907,0.126742650590648,0.6105783949339276,0.5009550316073709,0.18040747973618607
3.0,0.33083271086919736,0.2337669432488203,0.1094539310454301,3283.5084774318575,194.8215871695872,427.43333333333334,9550.0,1.6762871336358423,0.08610636402122857,0.4086357557875007,0.3273098055025316,0.11684260470562322,0.1504178801746077,0.6947827875201653,0.565724000737772,0.19945727667106763
3.0,0.2694386630693046,0.19823354433290702,0.07259961314367903,2177.9157946972273,199.25712060422313,425.0333333333333,9886.0,1.6021276675809708,0.0663920827449446,0.33559799313692806,0.27942772001856775,0.103315479961679,0.11204254685691208,0.576786493787289,0.4672041671006887,0.1725223046787182
3.0,0.328765238556295,0.23461678648628478,0.10809018508914722,3242.5974624893274,199.06930719758432,425.4,10022.0,1.6214234938709458,0.08159676212640148,0.38934753120355553,0.3340849164093618,0.12416389904408154,0.1402935883080818,0.6695573054530285,0.5733968859550265,0.2116002076971421
