,importance
mav_arr_3,0.18076293723917675
mav,0.0638785417395115
std_3,0.04464425011523241
stdEda,0.029676712481859834
HRV_pNN20,0.027829813553597073
activity,0.025302698312468723
meanMFCCS_3,0.019230239697440636
meanPeakAmplitude,0.01919146724516366
PR_Mean,0.018150022740258363
HRV_Prc20NN,0.01666343515575886
HRV_MedianNN,0.015430884590439002
meanMFCCS_7,0.0128491377405471
meanMFCCS_2,0.011643070166942248
medianMFCCS_9,0.00946002431072415
HRV_Prc80NN,0.009407764230681846
medianMFCCS_5,0.009365503643523357
HRV_HTI,0.009294229811909948
distributionEnergy_3,0.009199892072885818
medianMFCCS_3,0.009025795098504133
distributionEnergy_2,0.008985084884506098
HRV_pNN50,0.007985383370847107
meanMFCCS_8,0.007940546678896807
HRV_IQRNN,0.007811295012014938
meanMFCCS_14,0.007685858185786138
meanMFCCS_11,0.007666865375765731
peaksCount,0.00695196638907208
medianMFCCS_2,0.006933470522902927
kurtMFCCS_7,0.006713151470982356
meanMFCCS_4,0.0066322514626827025
HRV_MaxNN,0.0064318818052280045
meanNegativeDerivative,0.006406607151583186
kurtMFCCS_4,0.006376423082070077
sumPeakAmplitude,0.006228266141288288
stdMFCCS_0,0.006184703047388658
skewMFCCS_2,0.006173343265604741
kurtMFCCS_16,0.00612095248566104
meanDerivative,0.00611324297113246
energyWavelet_0,0.006107647513037372
mobility,0.0059862752454096935
stdMFCCS_4,0.005974961561887951
medianMFCCS_13,0.0058718183684929644
LF_Rel,0.00583340102425256
stdMFCCS_2,0.005666230118536067
kurtMFCCS_17,0.005609162085934371
meanMFCCS_12,0.005592349083924364
kurtMFCCS_11,0.005558519315961372
skewMFCCS_16,0.005520998673855066
HF_Norm,0.00535890843156712
skewMFCCS_7,0.005292711675713178
stdMFCCS_8,0.005226398015637727
HRV_MeanNN,0.004968063623278244
medianMFCCS_11,0.004874041504407389
meanMFCCS_1,0.004773604372643016
stdMFCCS_12,0.004711270262584333
meanMFCCS_9,0.004615932009458279
medianMFCCS_0,0.004521028833122758
mav_arr_2,0.0045011219247701505
fft_ratio,0.00449357021423456
medianMFCCS_14,0.00437201705961116
fft_total,0.004270135641950986
QQ_Mean,0.004121676789607395
meanMFCCS_5,0.0041120591866304
entropyWavelet_3,0.004086888975289761
std_2,0.004005476463238794
distributionEnergy_0,0.003972961224313316
skewMFCCS_5,0.003909193519548976
kurtMFCCS_10,0.0038749767001497928
stdMFCCS_16,0.0038235041272158443
kurtMFCCS_8,0.0037903462188860425
energy,0.0037587880807062467
meanRiseTime,0.0037439829363425316
entropyWavelet_2,0.0037410120950781877
skewMFCCS_18,0.003729503897309166
QRS_Mean,0.0036836265078191155
LF_Norm,0.0036516303598021996
stdMFCCS_3,0.0036516036362946934
skewMFCCS_14,0.0036301864122895494
kurtMFCCS_5,0.0036102884897755492
stdMFCCS_19,0.0035890586760690514
skewMFCCS_15,0.0035177846645939874
medianMFCCS_4,0.0034839132973165264
HF_Rel,0.003441997792025316
kurtMFCCS_6,0.0034024089303214943
HR_Mean,0.0033033422716887435
rmse,0.0032712364778010993
skewMFCCS_11,0.0032369568852852644
skewMFCCS_9,0.0032039370291681774
skewMFCCS_17,0.0031468160668027645
medianMFCCS_12,0.003121160560445279
distributionEnergy_1,0.003096582182391384
VLF_Rel,0.003092008015073027
stdMFCCS_10,0.0030654124762383127
stdMFCCS_17,0.002978821007775203
stdMFCCS_6,0.0028828962964674953
medianMFCCS_7,0.00284984933311333
meanMFCCS_15,0.0028449238039603797
RS_Mean,0.00277959654531616
medianMFCCS_17,0.0027763096168518255
QR_Mean,0.002703890522976795
skewMFCCS_19,0.002654021346537083
stdMFCCS_11,0.002643365294174717
HRV_MinNN,0.002637901054375619
skewMFCCS_12,0.002606569994414345
stdMFCCS_14,0.002416198787252717
PP_Mean,0.0023591034280339806
stdMFCCS_15,0.002188146472555162
energyWavelet_3,0.002118463385677507
stdMFCCS_5,0.0020714799615575157
kurtMFCCS_2,0.0020064158198684024
sma,0.0019419417587460525
mav_arr_1,0.0019219404089118024
skewMFCCS_6,0.0018935132592259084
entropyWavelet_1,0.001776260309270728
TR_Mean,0.001686401986240632
zc,0.0016849027461231804
skewMFCCS_1,0.0016491629834313175
stdMFCCS_7,0.0016284976296308256
medianMFCCS_19,0.0015075622609386696
kurtMFCCS_18,0.001433648157243525
HRV_RMSSD,0.0013034486269823322
medianMFCCS_1,0.0012663635577058014
HRV_CVSD,0.0012628098549641686
meanMFCCS_10,0.0012166339899955803
fr,0.0012011904790279857
SS_Mean,0.001179603740253426
stdMFCCS_13,0.0011718070908877064
TT_Mean,0.001163488227879541
kurtMFCCS_13,0.001153625031980642
entropyWavelet_0,0.0011314415152395522
skewEda,0.0011224104994268693
meanMFCCS_16,0.0010609531004691828
varSpectralPower,0.001024687229491859
skewMFCCS_0,0.0010161662837891048
kurtMFCCS_3,0.0010035543968491048
skewMFCCS_10,0.0009688037722173637
meanMFCCS_0,0.0009292590127416893
kurtMFCCS_19,0.0009265158743318072
meanMFCCS_6,0.000910091595181636
meanEda,0.0008689599483661494
energyWavelet_1,0.0008128869963797022
energyWavelet_2,0.0008074489268288827
skewMFCCS_4,0.0007922851413397835
HRV_SDNN,0.0007810721716376328
kurtMFCCS_15,0.0007352727803001764
totalEnergyWavelet,0.0007172932584597921
HRV_MadNN,0.000693929985257797
kurtEda,0.0006813034334595733
medianMFCCS_6,0.0006810158577464539
mav_arr_0,0.0006131713264207171
mdf,0.0006118425985800189
energy,0.000592668743190121
kurtMFCCS_14,0.0005889301216651508
stdMFCCS_1,0.0005241795143704048
skewMFCCS_8,0.0005152953579408917
complexity,0.0005015664507984024
sumRiseTime,0.00047991393908804756
medianMFCCS_18,0.0004776159698240024
HRV_MCVNN,0.00047351403113123845
HRV_SDSD,0.0004471464811469456
