,importance
medianMFCCS_16,7.343044686231297e-05
meanMFCCS_11,0.00014349458784482127
meanMFCCS_1,0.00016858648358337785
skewMFCCS_2,0.00017776627973721507
meanMFCCS_9,0.0001970210334219254
stdMFCCS_17,0.0002541812601472897
medianMFCCS_6,0.00030199325837184087
meanMFCCS_19,0.00030264144724624127
meanMFCCS_5,0.00031073344240390945
medianMFCCS_10,0.0003116866445881129
skewMFCCS_14,0.0003509308620449696
meanMFCCS_6,0.00037758041614995355
stdMFCCS_12,0.0003928640664661938
medianMFCCS_0,0.0004033232270841629
distributionEnergy_2,0.0004107782088416404
distributionEnergy_0,0.0004295046116146801
stdMFCCS_4,0.0004297953491625
distributionEnergy_1,0.00043477012750189377
meanMFCCS_16,0.00043845702341226877
kurtMFCCS_3,0.00044082467435068394
distributionEnergy_3,0.0004815679438943157
meanMFCCS_4,0.0005176459926673352
medianMFCCS_12,0.0005385303150406712
skewMFCCS_6,0.0005455474094851648
meanMFCCS_14,0.0005514147305987301
medianMFCCS_4,0.0005666829043238832
medianMFCCS_2,0.0005773335962004409
meanEda,0.0006002758506413801
kurtMFCCS_11,0.0006572961021058555
skewMFCCS_3,0.0006805284052790643
stdMFCCS_7,0.0006837424013276711
meanMFCCS_13,0.0006969133325805993
kurtMFCCS_17,0.0007211403455641326
medianMFCCS_17,0.000752856554603341
skewMFCCS_11,0.0007635956453913601
skewMFCCS_8,0.0007648681199498245
energy,0.0007681024789621264
kurtMFCCS_2,0.0007852183023027695
stdMFCCS_16,0.0008411336094048071
medianMFCCS_13,0.0008495554790077616
energyWavelet_0,0.000858449350026717
medianMFCCS_11,0.0008714919523118239
totalEnergyWavelet,0.0008965901257305966
skewMFCCS_16,0.0009209103864543258
meanMFCCS_12,0.0010000487223290244
kurtMFCCS_6,0.001000618416652133
medianMFCCS_8,0.001008431585294738
sma,0.0010565750563105297
meanMFCCS_10,0.0010667314987927695
kurtMFCCS_1,0.0010716811940298205
skewEda,0.001077926017789525
medianMFCCS_9,0.0011032418242234146
kurtMFCCS_7,0.0011262555663115587
entropyWavelet_3,0.001153395706141422
kurtMFCCS_0,0.0011630644886957016
meanMFCCS_7,0.0011830307822929256
skewMFCCS_0,0.0011857718341312373
kurtMFCCS_12,0.0012033571414946313
skewMFCCS_15,0.0012066200755009597
stdMFCCS_15,0.0012157906384804961
medianMFCCS_7,0.001219909180101672
entropyWavelet_0,0.0012494172645433894
medianMFCCS_5,0.0012619022352666394
medianMFCCS_19,0.0012809397214385585
skewMFCCS_12,0.00132491256351279
medianMFCCS_14,0.0013282225461087682
skewMFCCS_17,0.0013361284833951627
kurtMFCCS_9,0.001353932825930413
stdMFCCS_14,0.0013977539794613615
medianMFCCS_3,0.0015014667395330506
skewMFCCS_5,0.0015257275760250085
skewMFCCS_1,0.0015347831395003811
meanMFCCS_15,0.0015665837997045765
kurtMFCCS_18,0.0015868508533159107
skewMFCCS_18,0.0016091698504535263
skewMFCCS_10,0.0016599485071479305
stdMFCCS_19,0.0017559330948793553
meanMFCCS_3,0.001761293463838848
skewMFCCS_9,0.0018370870510296736
medianMFCCS_1,0.0018686764418504272
kurtMFCCS_16,0.0019041758052812492
medianMFCCS_15,0.0019165741534901727
skewMFCCS_4,0.0020188348069259195
kurtMFCCS_8,0.002172749386181465
stdMFCCS_1,0.0022225427615132397
kurtMFCCS_19,0.0022437262050842397
meanMFCCS_2,0.002260237360630467
stdMFCCS_5,0.0022736248670601252
stdMFCCS_18,0.0024818702601940514
kurtMFCCS_4,0.0026069416353845113
skewMFCCS_19,0.0026423226494816108
varSpectralPower,0.002688084313399845
stdMFCCS_11,0.0027088000019422236
stdMFCCS_6,0.00275334417972701
kurtMFCCS_10,0.002809125725825438
peaksCount,0.0028700567285764094
medianMFCCS_18,0.002957565050085352
stdMFCCS_13,0.0031811781746345228
kurtMFCCS_13,0.0034168781184751537
stdMFCCS_8,0.0035995105463450853
meanMFCCS_18,0.0039760291149937
skewMFCCS_7,0.004156466601547183
kurtMFCCS_5,0.004311839821146243
meanMFCCS_8,0.004358269277535082
kurtMFCCS_15,0.00466125848978937
stdMFCCS_9,0.005076710019449149
complexity,0.005277388304039966
kurtEda,0.0054013957589218115
sumRiseTime,0.005497155193125066
stdMFCCS_0,0.0056944642495981536
stdMFCCS_2,0.005937097687514952
stdMFCCS_10,0.006419186549070906
activity,0.006715891064591982
skewMFCCS_13,0.0068378714954122595
meanMFCCS_17,0.007189153872780908
entropyWavelet_2,0.007236947984549901
stdEda,0.007627528032148057
energyWavelet_2,0.007923454010035334
energyWavelet_3,0.007924004678254748
kurtMFCCS_14,0.010972080445127838
mobility,0.0133178841942711
meanRiseTime,0.018067584145720458
stdMFCCS_3,0.02227402124719548
meanDerivative,0.027641819115896173
energyWavelet_1,0.029872686939781505
meanMFCCS_0,0.037600039801218794
entropyWavelet_1,0.04976177837137426
meanNegativeDerivative,0.12822410387737723
sumPeakAmplitude,0.13916768833045676
meanPeakAmplitude,0.2881251239466384
