patient,rmse,mav,var,energy,mnf,mdf,zc,fr,mav_arr_0,mav_arr_1,mav_arr_2,mav_arr_3,std_0,std_1,std_2,std_3
10.0,0.46304250117995294,0.36252208294068267,0.21441550508248947,6432.250736969601,234.81713567597913,403.26666666666665,11945.0,1.4663788702819083,0.08929248122580379,0.4622732074917399,0.5359857318215104,0.2548211427423236,0.14587102421274686,0.7714435952642071,0.8663843085305268,0.41099196502728236
10.0,0.49247158948462033,0.38838027051677537,0.24253635099454154,7275.847993485251,236.96500715553302,401.1,12127.0,1.3962203836350877,0.09521196959047064,0.47055900295900277,0.5710773444980971,0.28884320528156704,0.15611887242766137,0.7653250666319205,0.925586415222463,0.46748812426253944
10.0,0.48580000498748577,0.3816740395371865,0.23600951182956884,7080.049345375235,244.30408834641264,395.56666666666666,12638.0,1.3367898920312045,0.08904800213126327,0.43410613955245847,0.5484486126907582,0.2987978878930907,0.14760843227761217,0.7071153121589704,0.8777269459346607,0.4827008778699617
10.0,0.41474812340812656,0.32841612093441924,0.17202173992856018,5160.4801761168765,241.45145326800326,397.1333333333333,12399.0,1.3637874987487844,0.07415213411406282,0.40011998874142307,0.4707881134821006,0.25097726266411446,0.12173820442810987,0.6475409827873534,0.7531953671779631,0.4017752843022851
10.0,0.412485695678752,0.3265466594630233,0.17015012081027767,5104.33347418752,242.63753751697098,395.93333333333334,12463.0,1.37971133981049,0.0757129931915592,0.39091108146440384,0.4684568546307182,0.25211448134863695,0.12158730640042929,0.6283324116596515,0.7535220763626823,0.4062404298385927
10.0,0.4627725927774363,0.36749192184094986,0.2141656114796669,6424.754178778527,243.1643369737287,393.8666666666667,12491.0,1.354918440886952,0.09010062532867838,0.447204001062149,0.5205390577990667,0.2838147042915904,0.14404784705191576,0.7292671587359157,0.8331672992970566,0.4550871575656301
10.0,0.4659976064952763,0.3604310027136635,0.21716100795959165,6514.61307777979,265.3369588922295,377.73333333333335,14738.0,1.1515688092219796,0.07847015975096679,0.3849589698991627,0.46067508083296843,0.3345681105389786,0.13471671642062213,0.6456577521408519,0.7716780813647272,0.541832853846914
10.0,0.917355332832357,0.81869667415773,0.8415688589712635,25246.224200278935,342.59082661375896,395.5333333333333,22953.0,0.8491044450770027,0.06850182180518603,0.23428144997389708,0.4819703083400007,1.0648051072856544,0.11571381233715189,0.38620525051746657,0.819767844919359,1.5927718106602515
10.0,0.9020461817934337,0.7989009917430153,0.8137144379027093,24410.619422643373,283.0526169548098,393.3,16210.0,1.037311675687923,0.10660040432149151,0.32947960731058173,0.8798044101475028,0.8292536178836307,0.17140883128500914,0.5753872691431418,1.3945320215954762,1.2906746236245126
10.0,0.8264025622449493,0.7091671602367682,0.6829639603503623,20488.23584655052,247.3359593863389,403.76666666666665,12331.0,1.2998317985104322,0.1320532483010042,0.5372948324740513,1.0169646170480744,0.5387389837657451,0.21610116441575242,0.9029848690362007,1.5874875889308873,0.8800846409638747
10.0,0.70932494102837,0.580684750986021,0.5031586439196979,15094.256158947017,240.56493781796974,403.6333333333333,11315.0,1.4943454196093384,0.12147061455056062,0.6868282418757591,0.8166163314281537,0.3839202061573499,0.19932807917450285,1.1291119440610573,1.31943563971076,0.6430689375458538
10.0,0.6811289856512804,0.5461805869241766,0.46395216016634777,13918.100852830266,299.35285183905523,382.8333333333333,16014.0,0.9215068164750494,0.08208132360244245,0.46277451920609464,0.5157909942004122,0.5480806395149438,0.14034721155214752,0.7967734128631935,0.8704718468610967,0.9316987035964275
10.0,0.7401512727721212,0.6039531980494797,0.5478421679917906,16434.717197585727,339.1324582692849,404.0,20114.0,0.7028883563935102,0.06006047328320916,0.32033431327021594,0.3760921634030269,0.7425434249444351,0.10052866451689761,0.5564326719258285,0.6280543029619557,1.211034835344301
10.0,0.7904467824487749,0.6616443580010785,0.6248269434484024,18744.183476508624,350.0040191183976,411.0,21965.0,0.674034009237908,0.057593411437739085,0.2805186221931154,0.35000695300739154,0.8570353640240278,0.09487254603685083,0.4745979946430823,0.5798956317530023,1.3500943110812602
