,importance
meanPeakAmplitude,0.21677708157939896
medianMFCCS_11,0.1025187213201473
fr,0.04564974411185035
energyWavelet_3,0.03979013985601279
entropyWavelet_3,0.03347477631903527
stdMFCCS_3,0.02475949296718459
sumPeakAmplitude,0.022911688223982755
HRV_pNN20,0.017422649394279264
meanMFCCS_0,0.015004701625386498
medianMFCCS_0,0.01486727734781303
kurtMFCCS_12,0.014102879856744032
stdMFCCS_2,0.012617950767383469
kurtMFCCS_3,0.011410085251551723
meanRiseTime,0.010800551973247535
stdMFCCS_8,0.010662840354476975
skewMFCCS_0,0.009882209440061459
meanMFCCS_16,0.009182772862198754
skewMFCCS_1,0.00912665235978358
energyWavelet_0,0.009063969933390831
mdf,0.008490148734824223
stdMFCCS_15,0.00845962607084388
mnf,0.007861565950077429
stdMFCCS_4,0.007477381220265715
std_3,0.007466532541268686
meanMFCCS_5,0.0073130045271438205
meanNegativeDerivative,0.007290316847041809
medianMFCCS_8,0.007200923379747826
HRV_SDSD,0.007117854690152144
HRV_Prc80NN,0.007014207514253297
QR_Mean,0.006846052246202381
zc,0.006788888423370013
kurtMFCCS_8,0.006756784002771671
kurtMFCCS_7,0.006658012384236444
entropyWavelet_0,0.00659588188653173
energyWavelet_1,0.006159349577436267
PR_Mean,0.006079078517271026
kurtMFCCS_13,0.005870323106537678
HRV_Prc20NN,0.005544538100408162
kurtMFCCS_9,0.005238407424641628
meanMFCCS_9,0.005051363201264607
skewMFCCS_4,0.005010420662687229
stdMFCCS_16,0.004824190752828767
skewMFCCS_18,0.0046275360006734125
mobility,0.004330386428399697
meanMFCCS_7,0.004130491736409229
TR_Mean,0.004036941594049571
stdMFCCS_5,0.0039036632550652805
meanMFCCS_15,0.003762653617776372
mav_arr_3,0.0037298053363022995
kurtEda,0.003680678838721439
kurtMFCCS_6,0.003673017200108115
medianMFCCS_18,0.003635863653496024
kurtMFCCS_18,0.003550758798621412
energy,0.003438644504708883
HF_Norm,0.003380147695951078
kurtMFCCS_1,0.0032819236583955347
fft_total,0.0032508716155847106
peaksCount,0.003204442526632741
medianMFCCS_15,0.0030407285644078953
HRV_IQRNN,0.003033016382110727
HRV_MCVNN,0.003011075913956483
HRV_MaxNN,0.0029798506613486287
meanMFCCS_1,0.0028942413919463943
sma,0.0028923301988823453
meanMFCCS_13,0.0028160793314731068
meanMFCCS_10,0.002812958225851155
stdMFCCS_7,0.0027988413971646387
std_0,0.002789537605306141
meanEda,0.0027885825640478704
kurtMFCCS_19,0.0027410060010499317
HRV_SDNN,0.0026363202769161074
meanMFCCS_12,0.0025938951274829215
stdMFCCS_9,0.002583268229805924
stdMFCCS_19,0.0025028173732992297
skewMFCCS_10,0.0024629243627905797
meanMFCCS_8,0.002458475456896932
medianMFCCS_13,0.002440554168872746
QQ_Mean,0.002437838071112068
medianMFCCS_5,0.0023674974986226155
mav_arr_2,0.002356693791531451
medianMFCCS_16,0.002249242212935192
HRV_MedianNN,0.0021799710864424896
medianMFCCS_4,0.0021455750590263652
meanMFCCS_18,0.002100232523144293
TT_Mean,0.0020637021840090156
skewMFCCS_13,0.0020471706916179657
medianMFCCS_10,0.0020393248206369615
meanMFCCS_19,0.0019426209311360551
totalEnergyWavelet,0.001897495354070638
kurtMFCCS_14,0.0018786363102622045
meanMFCCS_6,0.0018520360165138867
HRV_MeanNN,0.0017631927350975293
kurtMFCCS_15,0.001760156786731181
HRV_MinNN,0.0017062138343042236
energyWavelet_2,0.0016893041254827169
skewMFCCS_7,0.001661310896295954
stdMFCCS_11,0.0016221667596330019
rmse,0.0015417686610390033
skewMFCCS_19,0.0015135783216299805
skewMFCCS_14,0.001505383556646772
PP_Mean,0.0014970783150034606
distributionEnergy_2,0.0014829892532331101
HR_Mean,0.0014120266508745568
stdEda,0.0014095358032010536
kurtMFCCS_10,0.0014053449305119737
stdMFCCS_18,0.0014010372544062228
meanMFCCS_14,0.0013119683762939974
HRV_HTI,0.0012993599776143687
skewMFCCS_6,0.0012743754419825403
skewEda,0.0012501467176185869
mav_arr_1,0.0012338145544020685
HRV_CVNN,0.0012234487820635713
medianMFCCS_6,0.0012042932813677832
distributionEnergy_1,0.0011618422880984483
energy,0.0011419594185857985
std_1,0.0011284818051453074
medianMFCCS_9,0.0011251259231982503
medianMFCCS_14,0.0011027449498291018
kurtMFCCS_2,0.0011020084718346976
meanDerivative,0.0010908099262927054
skewMFCCS_8,0.0010881406432626266
stdMFCCS_13,0.0010535457458295898
medianMFCCS_7,0.0010058490788780697
SS_Mean,0.0009823149231543888
medianMFCCS_3,0.0009797099980799243
skewMFCCS_2,0.0009587851250676263
activity,0.00095854526659543
varSpectralPower,0.0009493893312390866
kurtMFCCS_5,0.0009288102178910671
entropyWavelet_1,0.0009285204804341038
mav,0.000910329511459023
RS_Mean,0.0009086110605638979
HRV_CVSD,0.0008919394535056417
distributionEnergy_0,0.0008877847142928629
skewMFCCS_5,0.0008808321447917139
medianMFCCS_12,0.000878675031194581
stdMFCCS_10,0.0008535312870965109
meanMFCCS_11,0.0008303353158030649
HRV_RMSSD,0.0008186576789520456
std_2,0.0008054302765249933
skewMFCCS_11,0.0007954752615801286
skewMFCCS_15,0.0007950011054608995
skewMFCCS_17,0.0007658981748952085
skewMFCCS_12,0.0007501937050649289
kurtMFCCS_11,0.0007377820401876763
fft_ratio,0.0006966934351994282
var,0.0006815833431757837
QRS_Mean,0.0006813290573595931
HRV_TINN,0.0006568021579521755
medianMFCCS_1,0.0006355698373858684
stdMFCCS_17,0.0005964987057343698
meanMFCCS_17,0.0005401290749627702
meanMFCCS_2,0.0005396559503330201
skewMFCCS_16,0.0005291912155225895
LF_Rel,0.0005249624383938117
skewMFCCS_3,0.0004995124103128973
HRV_MadNN,0.0004795037563843568
meanMFCCS_4,0.0004558977582233378
stdMFCCS_12,0.0004525140490943258
meanMFCCS_3,0.00042960510032143037
kurtMFCCS_0,0.0004274657703724042
kurtMFCCS_17,0.00039956523955672255
entropyWavelet_2,0.00038522284200310966
HF_Rel,0.00036687631027254857
stdMFCCS_0,0.0003517867608418107
stdMFCCS_14,0.000348162972113864
kurtMFCCS_16,0.00032443190337927695
LF_Norm,0.0003030920514005552
VLF_Rel,0.0002704886880684546
stdMFCCS_1,0.0002631951478712232
HRV_pNN50,0.00019182391100897243
sumRiseTime,0.00018037135278514617
medianMFCCS_19,0.00017093681422700473
mav_arr_0,0.00013259293315767603
stdMFCCS_6,0.00011911740638910883
medianMFCCS_2,8.514596451058946e-05
kurtMFCCS_4,7.46487119437941e-05
distributionEnergy_3,7.340593964400152e-05
skewMFCCS_9,7.332854061826063e-05
complexity,6.940191875892793e-05
medianMFCCS_17,3.053160919540235e-05
HF_Peak,0.0
LF_Peak,0.0
VLF_Peak,0.0
